date,pair,pool_address,tvl_usd,volume_usd,fees_usd,vol_per_tvl_pct,fees_per_tvl_pct,fees_per_vol_pct
2026-01-01,USDC/cbBTC,0x0ba69825c4c033e72309f6ac0bde0023b15cc97c,986434.98,554235.95,60.6133,56.1858,0.006145,0.010936
2026-01-01,WETH/EURC,0xb20f018dde5a6fe7f93c31da05a5da9efbc52772,799980.09,38987.91,117.7661,4.8736,0.014721,0.302058
2026-01-01,WETH/USDC,0x82dbe18346a8656dbb5e76f74bf3ae279cc16b29,1006758.93,762021.42,76.4955,75.6906,0.007598,0.010039
2026-01-01,WETH/cbBTC,0x3f9b863ef4b295d6ba370215bcca3785fcc44f44,2663337.13,1409144.89,152.5703,52.909,0.005729,0.010827
2026-01-01,WETH/cbXRP,0xee58348059c9ad6ac345be79c399da0c200627ed,500193.49,12627.28,92.2665,2.5245,0.018446,0.730692
2026-01-02,USDC/cbBTC,0x0ba69825c4c033e72309f6ac0bde0023b15cc97c,889398.32,2450322.39,470.298,275.5034,0.052878,0.019193
2026-01-02,WETH/EURC,0xb20f018dde5a6fe7f93c31da05a5da9efbc52772,774067.81,114818.46,595.0134,14.8331,0.076868,0.518221
2026-01-02,WETH/USDC,0x82dbe18346a8656dbb5e76f74bf3ae279cc16b29,1087202.48,1705894.94,383.5905,156.9068,0.035282,0.022486
2026-01-02,WETH/cbBTC,0x3f9b863ef4b295d6ba370215bcca3785fcc44f44,2602219.03,4484124.65,514.6676,172.3193,0.019778,0.011478
2026-01-02,WETH/cbXRP,0xee58348059c9ad6ac345be79c399da0c200627ed,526841.52,107852.43,441.1078,20.4715,0.083727,0.408992
2026-01-03,USDC/cbBTC,0x0ba69825c4c033e72309f6ac0bde0023b15cc97c,883975.62,310789.77,82.1868,35.1582,0.009297,0.026445
2026-01-03,WETH/EURC,0xb20f018dde5a6fe7f93c31da05a5da9efbc52772,681515.25,21196.07,158.9705,3.1101,0.023326,0.75
2026-01-03,WETH/USDC,0x82dbe18346a8656dbb5e76f74bf3ae279cc16b29,1150608.2,387253.81,125.9528,33.6564,0.010947,0.032525
2026-01-03,WETH/cbBTC,0x3f9b863ef4b295d6ba370215bcca3785fcc44f44,2714568.38,773692.3,243.4543,28.5015,0.008968,0.031467
2026-01-03,WETH/cbXRP,0xee58348059c9ad6ac345be79c399da0c200627ed,510975.93,42271.27,317.0345,8.2727,0.062045,0.75
2026-01-04,USDC/cbBTC,0x0ba69825c4c033e72309f6ac0bde0023b15cc97c,870191.0,461313.07,145.2616,53.0129,0.016693,0.031489
2026-01-04,WETH/EURC,0xb20f018dde5a6fe7f93c31da05a5da9efbc52772,556722.29,55480.99,293.6087,9.9656,0.052739,0.529206
2026-01-04,WETH/USDC,0x82dbe18346a8656dbb5e76f74bf3ae279cc16b29,1093477.89,671158.48,189.5594,61.3783,0.017335,0.028244
2026-01-04,WETH/cbBTC,0x3f9b863ef4b295d6ba370215bcca3785fcc44f44,2756222.86,1008419.99,303.2589,36.587,0.011003,0.030073
2026-01-04,WETH/cbXRP,0xee58348059c9ad6ac345be79c399da0c200627ed,525257.68,20547.55,151.6269,3.9119,0.028867,0.737932
2026-01-05,USDC/cbBTC,0x0ba69825c4c033e72309f6ac0bde0023b15cc97c,853701.62,622597.37,292.7232,72.9292,0.034289,0.047016
2026-01-05,WETH/EURC,0xb20f018dde5a6fe7f93c31da05a5da9efbc52772,718646.87,95742.93,593.1584,13.3227,0.082538,0.619532
2026-01-05,WETH/USDC,0x82dbe18346a8656dbb5e76f74bf3ae279cc16b29,1052447.73,1319665.26,368.7683,125.3901,0.035039,0.027944
2026-01-05,WETH/cbBTC,0x3f9b863ef4b295d6ba370215bcca3785fcc44f44,2850322.24,2562057.14,778.9059,89.8866,0.027327,0.030402
2026-01-05,WETH/cbXRP,0xee58348059c9ad6ac345be79c399da0c200627ed,566424.17,22420.46,168.1534,3.9582,0.029687,0.75
2026-01-06,USDC/cbBTC,0x0ba69825c4c033e72309f6ac0bde0023b15cc97c,877102.8,956321.63,463.181,109.0319,0.052808,0.048434
2026-01-06,WETH/EURC,0xb20f018dde5a6fe7f93c31da05a5da9efbc52772,705840.01,132135.35,990.139,18.7203,0.140278,0.749337
2026-01-06,WETH/USDC,0x82dbe18346a8656dbb5e76f74bf3ae279cc16b29,1174123.19,1042525.53,521.1897,88.7918,0.04439,0.049993
2026-01-06,WETH/cbBTC,0x3f9b863ef4b295d6ba370215bcca3785fcc44f44,2939811.52,1894992.22,725.4278,64.4597,0.024676,0.038281
2026-01-06,WETH/cbXRP,0xee58348059c9ad6ac345be79c399da0c200627ed,501142.35,120919.5,910.6233,24.1288,0.18171,0.753082
2026-01-07,USDC/cbBTC,0x0ba69825c4c033e72309f6ac0bde0023b15cc97c,860202.21,1222059.7,554.8314,142.0666,0.0645,0.045401
2026-01-07,WETH/EURC,0xb20f018dde5a6fe7f93c31da05a5da9efbc52772,691257.53,117104.91,873.0282,16.9409,0.126296,0.745509
2026-01-07,WETH/USDC,0x82dbe18346a8656dbb5e76f74bf3ae279cc16b29,1141972.41,1118757.78,553.4729,97.9671,0.048466,0.049472
2026-01-07,WETH/cbBTC,0x3f9b863ef4b295d6ba370215bcca3785fcc44f44,2838035.53,1578261.97,787.7333,55.6111,0.027756,0.049911
2026-01-07,WETH/cbXRP,0xee58348059c9ad6ac345be79c399da0c200627ed,511659.23,56735.02,426.1854,11.0884,0.083295,0.751186
2026-01-08,USDC/cbBTC,0x0ba69825c4c033e72309f6ac0bde0023b15cc97c,936527.79,1157630.4,575.9203,123.6088,0.061495,0.04975
2026-01-08,WETH/EURC,0xb20f018dde5a6fe7f93c31da05a5da9efbc52772,674452.92,51785.82,388.3937,7.6782,0.057586,0.75
2026-01-08,WETH/USDC,0x82dbe18346a8656dbb5e76f74bf3ae279cc16b29,1102877.23,1156161.63,578.0808,104.8314,0.052416,0.05
2026-01-08,WETH/cbBTC,0x3f9b863ef4b295d6ba370215bcca3785fcc44f44,2892513.39,1666359.84,717.6254,57.6094,0.02481,0.043065
2026-01-08,WETH/cbXRP,0xee58348059c9ad6ac345be79c399da0c200627ed,550183.64,28781.68,215.8626,5.2313,0.039235,0.75
2026-01-09,USDC/cbBTC,0x0ba69825c4c033e72309f6ac0bde0023b15cc97c,922784.17,1869002.01,426.2065,202.5395,0.046187,0.022804
2026-01-09,WETH/EURC,0xb20f018dde5a6fe7f93c31da05a5da9efbc52772,691746.55,287775.91,666.2624,41.6014,0.096316,0.231521
2026-01-09,WETH/USDC,0x82dbe18346a8656dbb5e76f74bf3ae279cc16b29,1129662.21,1921267.99,441.2047,170.0746,0.039056,0.022964
2026-01-09,WETH/cbBTC,0x3f9b863ef4b295d6ba370215bcca3785fcc44f44,2872360.61,2792025.54,767.1844,97.2032,0.026709,0.027478
2026-01-09,WETH/cbXRP,0xee58348059c9ad6ac345be79c399da0c200627ed,565566.54,62297.29,84.0442,11.015,0.01486,0.134908
2026-01-10,USDC/cbBTC,0x0ba69825c4c033e72309f6ac0bde0023b15cc97c,1037655.57,248111.61,25.1076,23.9108,0.00242,0.010119
2026-01-10,WETH/EURC,0xb20f018dde5a6fe7f93c31da05a5da9efbc52772,760799.89,141598.52,76.596,18.6118,0.010068,0.054094
2026-01-10,WETH/USDC,0x82dbe18346a8656dbb5e76f74bf3ae279cc16b29,1141001.25,777642.72,83.3716,68.1544,0.007307,0.010721
2026-01-10,WETH/cbBTC,0x3f9b863ef4b295d6ba370215bcca3785fcc44f44,2865293.24,1007692.26,100.9051,35.1689,0.003522,0.010013
2026-01-10,WETH/cbXRP,0xee58348059c9ad6ac345be79c399da0c200627ed,509486.51,143591.13,84.8072,28.1835,0.016646,0.059062
2026-01-11,USDC/cbBTC,0x0ba69825c4c033e72309f6ac0bde0023b15cc97c,980992.44,1149735.66,114.9736,117.2013,0.01172,0.01
2026-01-11,WETH/EURC,0xb20f018dde5a6fe7f93c31da05a5da9efbc52772,796652.05,317007.92,165.9652,39.7925,0.020833,0.052354
2026-01-11,WETH/USDC,0x82dbe18346a8656dbb5e76f74bf3ae279cc16b29,1279843.35,1755297.57,178.5859,137.1494,0.013954,0.010174
2026-01-11,WETH/cbBTC,0x3f9b863ef4b295d6ba370215bcca3785fcc44f44,2890342.63,2090632.58,209.7496,72.3317,0.007257,0.010033
2026-01-11,WETH/cbXRP,0xee58348059c9ad6ac345be79c399da0c200627ed,513062.07,33098.97,19.0511,6.4513,0.003713,0.057558
2026-01-12,USDC/cbBTC,0x0ba69825c4c033e72309f6ac0bde0023b15cc97c,999381.99,3492788.65,499.2329,349.4949,0.049954,0.014293
2026-01-12,WETH/EURC,0xb20f018dde5a6fe7f93c31da05a5da9efbc52772,804119.65,617341.03,754.7222,76.7723,0.093857,0.122254
2026-01-12,WETH/USDC,0x82dbe18346a8656dbb5e76f74bf3ae279cc16b29,1242285.62,3095072.71,595.9926,249.1434,0.047975,0.019256
2026-01-12,WETH/cbBTC,0x3f9b863ef4b295d6ba370215bcca3785fcc44f44,2906030.75,4998369.32,508.6245,171.9999,0.017502,0.010176
2026-01-12,WETH/cbXRP,0xee58348059c9ad6ac345be79c399da0c200627ed,509200.85,76506.65,189.8862,15.0248,0.037291,0.248196
2026-01-13,USDC/cbBTC,0x0ba69825c4c033e72309f6ac0bde0023b15cc97c,963493.55,3682001.26,515.9153,382.1511,0.053546,0.014012
2026-01-13,WETH/EURC,0xb20f018dde5a6fe7f93c31da05a5da9efbc52772,817894.21,532154.24,782.5671,65.0639,0.095681,0.147056
2026-01-13,WETH/USDC,0x82dbe18346a8656dbb5e76f74bf3ae279cc16b29,1365421.24,6215441.53,1142.2374,455.2032,0.083655,0.018377
2026-01-13,WETH/cbBTC,0x3f9b863ef4b295d6ba370215bcca3785fcc44f44,3124903.07,6466423.5,714.1161,206.932,0.022852,0.011043
2026-01-13,WETH/cbXRP,0xee58348059c9ad6ac345be79c399da0c200627ed,562838.97,135639.97,85.711,24.0993,0.015228,0.06319
2026-01-14,USDC/cbBTC,0x0ba69825c4c033e72309f6ac0bde0023b15cc97c,1101226.11,1499977.65,449.9933,136.2098,0.040863,0.03
2026-01-14,WETH/EURC,0xb20f018dde5a6fe7f93c31da05a5da9efbc52772,798343.76,215180.39,645.5412,26.9533,0.08086,0.3
2026-01-14,WETH/USDC,0x82dbe18346a8656dbb5e76f74bf3ae279cc16b29,1545902.45,3996653.32,1198.996,258.5321,0.07756,0.03
2026-01-14,WETH/cbBTC,0x3f9b863ef4b295d6ba370215bcca3785fcc44f44,3186521.19,3856615.42,1141.9632,121.029,0.035837,0.029611
2026-01-14,WETH/cbXRP,0xee58348059c9ad6ac345be79c399da0c200627ed,561173.31,18224.82,26.673,3.2476,0.004753,0.146355
2026-01-15,USDC/cbBTC,0x0ba69825c4c033e72309f6ac0bde0023b15cc97c,985729.75,2525296.46,710.7891,256.1855,0.072108,0.028147
2026-01-15,WETH/EURC,0xb20f018dde5a6fe7f93c31da05a5da9efbc52772,678066.31,246335.23,715.7263,36.3291,0.105554,0.29055
2026-01-15,WETH/USDC,0x82dbe18346a8656dbb5e76f74bf3ae279cc16b29,1662335.94,2546102.21,738.6074,153.1641,0.044432,0.029009
2026-01-15,WETH/cbBTC,0x3f9b863ef4b295d6ba370215bcca3785fcc44f44,3123460.58,4223122.79,737.1489,135.2065,0.0236,0.017455
2026-01-15,WETH/cbXRP,0xee58348059c9ad6ac345be79c399da0c200627ed,520042.07,10245.76,25.6143,1.9702,0.004925,0.249999
